15.263,17.470,21.810,2.525
16.461,17.650,20.410,1.424
15.138,16.201,17.439,0.972
15.341,17.143,21.447,2.194
15.352,16.387,18.477,1.107
15.238,21.286,42.858,10.805
14.519,53.306,204.924,75.811
14.976,15.858,16.312,0.549
15.099,15.965,16.826,0.623
15.064,21.416,43.476,11.040
15.628,19.477,30.763,5.674
14.636,74.443,312.317,118.936
14.717,15.278,16.987,0.864
14.951,15.935,18.493,1.480
15.547,97.830,424.014,163.093
14.859,15.595,16.380,0.555
15.130,16.100,17.555,0.898
15.425,18.271,27.726,4.745
15.077,16.704,18.557,1.110
15.633,17.217,18.175,0.846
15.599,18.002,21.553,2.562
14.506,16.026,17.645,1.030











0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
